AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Albacete,13.206349206349206,9.444444444444445,4.380952380952381,3.3015873015873014,15.555555555555555,16.333333333333332,5.523809523809524,3.3968253968253967,2.2222222222222223,3.015873015873016,0.09523809523809523,0.14285714285714285,0.5339105339206349,0.378787879
Alcorcon,11.693548387096774,9.483870967741936,3.903225806451613,3.225806451612903,15.241935483870968,17.967741935483872,5.548387096774194,3.4193548387096775,2.3548387096774195,3.1451612903225805,0.14516129032258066,0.1935483870967742,0.534457478,0.4684750732903226
Almeria,12.129032258064516,10.370967741935484,4.17741935483871,3.4838709677419355,15.370967741935484,16.85483870967742,5.806451612903226,4.209677419354839,2.838709677419355,2.774193548387097,0.1774193548387097,0.20967741935483872,0.5307917888548387,0.47067448677419355
Barcelona B,14.476190476190476,11.571428571428571,4.0476190476190474,4.428571428571429,16.095238095238095,11.952380952380953,6.380952380952381,4.476190476190476,2.8095238095238093,2.4761904761904763,0.047619047619047616,0.047619047619047616,0.5281385281428571,0.409090909
Cadiz,11.709677419354838,9.451612903225806,3.725806451612903,3.161290322580645,14.806451612903226,14.129032258064516,4.645161290322581,4.758064516129032,2.7096774193548385,2.661290322580645,0.14516129032258066,0.20967741935483872,0.5175953079193548,0.7719941348387097
Cordoba,12.30952380952381,9.928571428571429,4.904761904761905,3.5476190476190474,16.19047619047619,15.857142857142858,5.095238095238095,4.0476190476190474,2.3095238095238093,2.7857142857142856,0.07142857142857142,0.16666666666666666,0.5324675324761905,0.318181818
Elche,14.634146341463415,9.463414634146341,5.2926829268292686,3.073170731707317,17.365853658536587,15.707317073170731,5.439024390243903,4.024390243902439,2.731707317073171,3.4146341463414633,0.21951219512195122,0.12195121951219512,0.5432372505365853,0.2949002217804878
Extremadura UD,13.571428571428571,10.047619047619047,4.428571428571429,3.4761904761904763,14.071428571428571,16.666666666666668,6.285714285714286,3.9523809523809526,2.5476190476190474,2.642857142857143,0.19047619047619047,0.14285714285714285,0.5389610389761904,0.1818181815
Fuenlabrada,10.714285714285714,9.619047619047619,2.9047619047619047,2.9047619047619047,15.380952380952381,18.238095238095237,5.095238095238095,4.095238095238095,3.0,2.9047619047619047,0.14285714285714285,0.047619047619047616,0.5238095238095238,0.545454545
Gimnastic,14.738095238095237,8.880952380952381,5.190476190476191,2.9047619047619047,13.595238095238095,16.333333333333332,6.309523809523809,2.880952380952381,2.1666666666666665,3.0952380952380953,0.047619047619047616,0.16666666666666666,0.5378787878809523,0.1363636365
Girona,10.761904761904763,10.857142857142858,3.619047619047619,3.619047619047619,15.666666666666666,16.095238095238095,3.5714285714285716,3.9047619047619047,3.0,2.619047619047619,0.14285714285714285,0.19047619047619047,0.5,0.909090909
Granada,11.095238095238095,10.738095238095237,3.6666666666666665,3.238095238095238,15.619047619047619,15.119047619047619,5.666666666666667,4.214285714285714,2.1904761904761907,2.8095238095238093,0.09523809523809523,0.09523809523809523,0.5108225108095239,0.863636364
Huesca,11.404761904761905,11.214285714285714,4.238095238095238,3.9523809523809526,15.5,14.214285714285714,5.095238095238095,4.809523809523809,2.619047619047619,2.9761904761904763,0.11904761904761904,0.16666666666666666,0.5119047619047619,0.8863636364999999
La Coruna,13.390243902439025,9.707317073170731,3.707317073170732,3.268292682926829,14.853658536585366,13.878048780487806,6.219512195121951,4.317073170731708,2.682926829268293,2.658536585365854,0.07317073170731707,0.21951219512195122,0.519955654097561,0.8370288249268293
Las Palmas,11.341463414634147,11.121951219512194,4.487804878048781,3.902439024390244,16.24390243902439,15.463414634146341,5.219512195121951,4.219512195121951,2.6341463414634148,3.5121951219512195,0.12195121951219512,0.17073170731707318,0.5266075388048781,0.6330376941463415
Leonesa,13.857142857142858,9.333333333333334,5.238095238095238,2.761904761904762,17.761904761904763,13.619047619047619,6.142857142857143,3.142857142857143,2.1904761904761907,2.7142857142857144,0.047619047619047616,0.09523809523809523,0.5346320346190476,0.272727273
Lorca,13.380952380952381,9.714285714285714,4.619047619047619,3.3333333333333335,13.80952380952381,15.238095238095237,5.619047619047619,4.238095238095238,2.238095238095238,2.619047619047619,0.0,0.19047619047619047,0.5432900432857143,0.045454545
Lugo,13.34920634920635,9.158730158730158,4.476190476190476,2.9365079365079363,15.047619047619047,15.571428571428571,6.5396825396825395,4.0,2.4444444444444446,3.0634920634920637,0.14285714285714285,0.19047619047619047,0.5382395382380952,0.22727272733333334
Malaga,12.24390243902439,9.951219512195122,3.4634146341463414,3.292682926829268,14.097560975609756,15.487804878048781,4.585365853658536,4.2682926829268295,2.341463414634146,2.8536585365853657,0.07317073170731707,0.14634146341463414,0.5254988913414633,0.7694013301463415
Mallorca,12.904761904761905,9.857142857142858,4.095238095238095,3.5714285714285716,15.952380952380953,14.380952380952381,5.095238095238095,4.333333333333333,2.5714285714285716,2.5714285714285716,0.09523809523809523,0.14285714285714285,0.5173160173333333,0.681818182
Mirandes,12.904761904761905,10.238095238095237,4.809523809523809,3.619047619047619,14.952380952380953,14.095238095238095,5.428571428571429,4.428571428571429,2.3333333333333335,2.0952380952380953,0.19047619047619047,0.14285714285714285,0.5389610389523809,0.181818182
Numancia,12.714285714285714,10.047619047619047,4.555555555555555,3.1904761904761907,15.095238095238095,14.396825396825397,6.0,4.015873015873016,2.8412698412698414,2.5555555555555554,0.14285714285714285,0.1746031746031746,0.5238095238095238,0.409090909
Osasuna,11.666666666666666,9.714285714285714,3.5952380952380953,3.142857142857143,16.404761904761905,14.976190476190476,5.523809523809524,3.8333333333333335,3.0,3.0476190476190474,0.11904761904761904,0.14285714285714285,0.5075757575714286,0.8863636364999999
Oviedo,11.629032258064516,9.419354838709678,4.016129032258065,3.2096774193548385,15.709677419354838,16.467741935483872,5.370967741935484,3.903225806451613,2.403225806451613,3.2096774193548385,0.0967741935483871,0.1935483870967742,0.5190615835806451,0.605571847451613
Ponferradina,11.095238095238095,9.285714285714286,3.9047619047619047,3.5714285714285716,15.952380952380953,17.095238095238095,5.095238095238095,3.8095238095238093,3.142857142857143,2.380952380952381,0.14285714285714285,0.14285714285714285,0.5324675324761905,0.318181818
Rayo Majadahonda,13.761904761904763,12.80952380952381,4.190476190476191,4.190476190476191,15.857142857142858,14.142857142857142,5.714285714285714,4.190476190476191,2.761904761904762,2.857142857142857,0.09523809523809523,0.047619047619047616,0.5389610389523809,0.181818182
Reus Deportiu,14.03225806451613,7.32258064516129,4.967741935483871,2.193548387096774,13.64516129032258,12.903225806451612,5.451612903225806,3.225806451612903,1.5806451612903225,2.129032258064516,0.06451612903225806,0.06451612903225806,0.5791788856451613,0.10703812277419356
