HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AFC Wimbledon,11.719298245614034,9.666666666666666,3.9649122807017543,3.5964912280701755,12.175438596491228,11.087719298245615,5.894736842105263,4.631578947368421,1.1578947368421053,1.456140350877193,0.03508771929824561,0.07017543859649122,0.4093567252105263,0.5277777777719298
Accrington,13.4,11.2,5.7,4.2,10.8,16.3,6.2,4.7,1.7,1.7,0.0,0.1,0.375,0.5208333332999999
Barnsley,11.384615384615385,8.679487179487179,5.256410256410256,3.6538461538461537,10.794871794871796,11.474358974358974,6.064102564102564,4.782051282051282,1.3333333333333333,1.5384615384615385,0.07692307692307693,0.14102564102564102,0.6436965812948718,0.5080128205128205
Blackburn,13.173913043478262,8.782608695652174,5.391304347826087,3.0869565217391304,10.91304347826087,10.347826086956522,7.304347826086956,3.5652173913043477,1.391304347826087,1.391304347826087,0.043478260869565216,0.043478260869565216,0.958333333,0.5018115942173913
Blackpool,11.893203883495145,10.980582524271844,4.990291262135922,4.495145631067961,11.019417475728156,11.990291262135923,5.41747572815534,4.922330097087379,1.0970873786407767,1.4368932038834952,0.04854368932038835,0.0970873786407767,0.4110032363203883,0.527508090631068
Bolton,12.521739130434783,8.130434782608695,5.086956521739131,3.1739130434782608,10.869565217391305,10.08695652173913,6.260869565217392,4.695652173913044,1.4782608695652173,1.608695652173913,0.043478260869565216,0.08695652173913043,0.875,0.5054347826086957
Bournemouth,13.73913043478261,10.384057971014492,7.144927536231884,4.934782608695652,10.695652173913043,12.77536231884058,6.101449275362318,4.507246376811594,1.2173913043478262,1.5724637681159421,0.057971014492753624,0.07246376811594203,0.5000000001666667,0.5214371980724638
Bradford,12.783625730994151,10.163742690058479,5.350877192982456,4.538011695906433,11.368421052631579,12.830409356725147,6.181286549707602,4.5321637426900585,1.3801169590643274,1.9415204678362572,0.10526315789473684,0.1286549707602339,0.5961257310643275,0.5268031189122807
Brentford,12.180124223602485,9.105590062111801,5.788819875776397,4.503105590062112,11.26086956521739,12.596273291925465,6.279503105590062,4.739130434782608,1.204968944099379,1.813664596273292,0.043478260869565216,0.08695652173913043,0.6130952381428572,0.5137163561055901
Brighton,10.373913043478261,7.643478260869565,4.947826086956522,3.8173913043478263,11.71304347826087,12.495652173913044,6.278260869565218,4.930434782608696,1.2173913043478262,2.026086956521739,0.13043478260869565,0.20869565217391303,0.6166666666,0.5163043478260869
Bristol City,13.934782608695652,10.217391304347826,6.260869565217392,4.565217391304348,10.782608695652174,11.33695652173913,6.771739130434782,4.815217391304348,1.141304347826087,1.641304347826087,0.010869565217391304,0.09782608695652174,0.78125,0.5104166666630434
